position_bin_start	position_bin_end	licks	lick_rate_per_unit
0	1000	24	0.024000
1000	2000	0	0.000000
2000	3000	4	0.004000
3000	4000	26	0.026000
4000	5000	114	0.114000
5000	6000	189	0.189000
6000	7000	171	0.171000
7000	8000	176	0.176000
8000	9000	118	0.118000
9000	10000	21	0.021000
10000	11000	26	0.026000
11000	12000	95	0.095000
12000	13000	236	0.236000
13000	14000	195	0.195000
14000	15000	197	0.197000
15000	16000	73	0.073000
16000	17000	26	0.026000
17000	18000	25	0.025000
18000	19000	133	0.133000
19000	20000	279	0.279000
20000	21000	137	0.137000
21000	22000	172	0.172000
22000	23000	84	0.084000
23000	24000	15	0.015000
24000	25000	15	0.015000
25000	26000	80	0.080000
26000	27000	325	0.325000
27000	28000	180	0.180000
28000	29000	167	0.167000
29000	30000	29	0.029000
30000	31000	0	0.000000
31000	32000	15	0.015000
32000	33000	152	0.152000
33000	34000	251	0.251000
34000	35000	221	0.221000
35000	36000	188	0.188000
36000	37000	19	0.019000
37000	38000	2	0.002000
38000	39000	41	0.041000
39000	40000	119	0.119000
40000	41000	167	0.167000
41000	42000	197	0.197000
42000	43000	305	0.305000
43000	44000	129	0.129000
44000	45000	0	0.000000
45000	46000	19	0.019000
46000	47000	69	0.069000
47000	48000	229	0.229000
48000	49000	264	0.264000
49000	50000	192	0.192000
